date,Income,Outcome,Balance,weekend,day_of_week,Monday,Tuesday,Wednesday,Thursday,Firday,Saturday,Sunday,day_of_week_sin,day_of_week_cos,holiday,preholiday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,keyrate,payday,mean_weekly,std_weekly,median_weekly,max_weekly,min_weekly,mean_monthly,std_monthly,median_monthly,max_monthly,min_monthly,first_lag,second_lag
2017-02-07,0.9119310502594479,0.9532203415877984,-0.0412892913283506,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.015692051055962046,0.05278486580245235,0.0,0.09330864428340203,-0.0412892913283506,-0.026059732427856384,0.1969022017492497,-0.002695350850003494,0.8003907709476724,-0.5485185355650501,-0.03228224040799516,0.0
2017-02-08,1.1024221678878618,0.9054784032195878,0.19694376466827418,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.030497068253800923,0.0836769390276925,0.0,0.19694376466827418,-0.0412892913283506,-0.014298152318034451,0.19940125127553168,0.0,0.8003907709476724,-0.5485185355650501,-0.0412892913283506,-0.03228224040799516
2017-02-09,1.5010317916895224,1.0717165026728905,0.4346808287785116,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.08069203723512272,0.17556997856711481,0.0,0.4346808287785116,-0.0412892913283506,0.004376946438168966,0.2142993683015023,0.0,0.8003907709476724,-0.5485185355650501,0.19694376466827418,-0.0412892913283506
2017-02-10,1.147702380212817,0.9641494958447594,0.18355288435489064,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.10594370658076155,0.1758808292471306,0.0,0.4346808287785116,-0.0412892913283506,0.010236489362656363,0.2167840859790767,0.0,0.8003907709476724,-0.5485185355650501,0.4346808287785116,0.19694376466827418
2017-02-11,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.10594370658076155,0.1758808292471306,0.0,0.4346808287785116,-0.0412892913283506,-0.016443203002266052,0.15726889728527443,0.0,0.4346808287785116,-0.5485185355650501,0.18355288435489064,0.4346808287785116
2017-02-12,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.10594370658076155,0.1758808292471306,0.0,0.4346808287785116,-0.0412892913283506,-0.015785831979608426,0.15729593737894754,0.0,0.4346808287785116,-0.5485185355650501,0.0,0.18355288435489064
2017-02-13,1.1024737343208666,1.29294362217197,-0.19046988785110308,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.0833454712317461,0.20444405976403537,0.0,0.4346808287785116,-0.19046988785110308,-0.02213482824131186,0.16044919486373735,0.0,0.4346808287785116,-0.5485185355650501,0.0,0.0
2017-02-14,0.982352785046438,1.0685305557955502,-0.08617777074911219,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.07693283131449447,0.20964282852633487,0.0,0.4346808287785116,-0.19046988785110308,-0.0250074205996156,0.1608102730997748,0.0,0.4346808287785116,-0.5485185355650501,-0.19046988785110308,0.0
2017-02-15,1.0797501307895907,1.0455795814722522,0.034170549317338435,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.05367951483578935,0.2030359840280702,0.0,0.4346808287785116,-0.19046988785110308,-0.02580161649338684,0.16044462416030125,0.0,0.4346808287785116,-0.5485185355650501,-0.08617777074911219,-0.19046988785110308
2017-02-16,1.1274411676292124,0.8573460728820845,0.270095094760295,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.030167267118901258,0.15553434043138606,0.0,0.270095094760295,-0.19046988785110308,0.0014855045174579954,0.1362700314020845,0.0,0.4346808287785116,-0.19848347820723888,0.034170549317338435,-0.08617777074911219
